SubjectAndCode,Title,CourseId,Instructor,Days,Start,End,Location,Dates,Units,Enrollment
CPI 200,Math Foundation of Informatics,15814  ,Hansford,T Th ,12:00 PM ,1:15 PM ,Tempe - BYENG209,01/11 - 04/23(C) ,3,25 of 60 
CPI 321,Fundamentals of Game Art (LEL),12499  ,Kobayashi,Th ,4:50 PM ,7:35 PM ,Tempe - BYENGM1-11,01/11 - 04/23(C) ,3,2 of 46 
CPI 350,Eval of Informatics Systems,13767  ,Atkinson,T Th ,1:30 PM ,2:45 PM ,Tempe - BYENG209,01/11 - 04/23(C) ,3,3 of 69 
CPI 394,Topic: Game Design Fundamentals,32666  ,Selgrad,T Th ,1:30 PM ,2:45 PM ,Tempe - BYAC110,01/11 - 04/23(C) ,3,16 of 75 
CPI 411,Graphics for Games,16884  ,Kobayashi,T Th ,10:30 AM ,11:45 AM ,Tempe - BYENGM1-11,01/11 - 04/23(C) ,3,11 of 50 
CPI 441,Gaming Capstone (LEL),12440  ,Kobayashi,T ,4:50 PM ,7:35 PM ,Tempe - BYENGM1-11,01/11 - 04/23(C) ,3,14 of 45 
CSE 100,Prin of Programming with C++,13552  ,Burger,T Th ,3:00 PM ,4:15 PM ,ASU Sync Only,01/11 - 04/23(C) ,3,7 of 175 
CSE 100,Laboratory,15172  ,Burger,Th ,9:00 AM ,9:50 AM ,Tempe - COORL1-38,01/11 - 04/23(C) ,0,1 of 35 
CSE 100,Laboratory,20790  ,Burger,T ,9:00 AM ,9:50 AM ,Tempe - COORL1-38,01/11 - 04/23(C) ,0,3 of 35 
CSE 100,Laboratory,20791  ,Burger,W ,11:15 AM ,12:05 PM ,Tempe - COORL1-38,01/11 - 04/23(C) ,0,1 of 35 
CSE 100,Laboratory,20792  ,Burger,F ,11:15 AM ,12:05 PM ,Tempe - COORL1-38,01/11 - 04/23(C) ,0,2 of 35 
CSE 110,Laboratory,20771  ,"Das, Suthar",T ,3:00 PM ,4:15 PM ,Poly - PRLTA202,01/11 - 04/23(C) ,0,4 of 21 
CSE 110,Laboratory,20772  ,"Das, Suthar",Th ,3:00 PM ,4:15 PM ,Poly - PRLTA202,01/11 - 04/23(C) ,0,6 of 18 
CSE 110,Principles of Programming,11178  ,Miller,,,,Internet - Hybrid,01/11 - 04/23(C) ,3,4 of 275 
CSE 110,Principles of Programming,15817  ,Miller,,,,Internet - Hybrid,01/11 - 04/23(C) ,3,3 of 252 
CSE 110,Principles of Programming,29948  ,Miller,,,,Internet - Hybrid,01/11 - 04/23(C) ,3,55 of 250 
CSE 110,Laboratory,11196  ,Miller,M ,2:30 PM ,3:20 PM ,Tempe - COORL1-38,01/11 - 04/23(C) ,0,2 of 35 
CSE 110,Laboratory,15186  ,Miller,Th ,3:00 PM ,3:50 PM ,Tempe - COORL1-38,01/11 - 04/23(C) ,0,4 of 35 
CSE 110,Laboratory,16886  ,Miller,Th ,10:30 AM ,11:20 AM ,Tempe - ECGG324,01/11 - 04/23(C) ,0,1 of 35 
CSE 110,Laboratory,18590  ,Miller,T ,3:00 PM ,3:50 PM ,Tempe - COORL1-38,01/11 - 04/23(C) ,0,2 of 35 
CSE 110,Laboratory,20793  ,Miller,T ,10:30 AM ,11:20 AM ,Tempe - ECGG324,01/11 - 04/23(C) ,0,1 of 35 
CSE 110,Laboratory,25281  ,Miller,W ,9:05 AM ,9:55 AM ,Tempe - COORL1-38,01/11 - 04/23(C) ,0,1 of 36 
CSE 110,Laboratory,25284  ,Miller,Th ,1:30 PM ,2:20 PM ,Tempe - COORL1-50,01/11 - 04/23(C) ,0,1 of 36 
CSE 110,Laboratory,25286  ,Miller,Th ,4:30 PM ,5:20 PM ,Tempe - COORL1-38,01/11 - 04/23(C) ,0,1 of 36 
CSE 110,Laboratory,29949  ,Miller,T ,10:30 AM ,11:20 AM ,Tempe - LIBL60,01/11 - 04/23(C) ,0,24 of 75 
CSE 110,Laboratory,29950  ,Miller,Th ,10:30 AM ,11:20 AM ,Tempe - LIBL60,01/11 - 04/23(C) ,0,17 of 75 
CSE 110,Laboratory,29951  ,Miller,T ,3:00 PM ,3:50 PM ,Tempe - LIBL60,01/11 - 04/23(C) ,0,1 of 50 
CSE 110,Laboratory,29952  ,Miller,Th ,3:00 PM ,3:50 PM ,Tempe - LIBL60,01/11 - 04/23(C) ,0,13 of 50 
CSE 110,Principles of Programming,20770  ,Suthar,M W ,3:00 PM ,4:15 PM ,Poly - PRLTA202,01/11 - 04/23(C) ,3,10 of 39 
CSE 120,Digital Design Fundamentals,28566  ,Millman,T Th ,1:30 PM ,2:45 PM ,Tempe - SCOB210,01/11 - 04/23(C) ,3,1 of 58 
CSE 120,Laboratory,28567  ,Millman,,,,Tempe - TBA,01/11 - 04/23(C) ,0,1 of 58 
CSE 205,Object-Oriented Program & Data,12605  ,Feng,M W F ,8:00 AM ,8:50 AM ,ASU Sync Only,01/11 - 04/23(C) ,3,94 of 166 
CSE 205,Object-Oriented Program & Data,15818  ,Feng,M W F ,12:20 PM ,1:10 PM ,ASU Sync Only,01/11 - 04/23(C) ,3,78 of 166 
CSE 205,Object-Oriented Program & Data,11206  ,Hsiao,M W F ,11:15 AM ,12:05 PM ,ASU Sync Only,01/11 - 04/23(C) ,3,70 of 166 
CSE 205,Object-Oriented Program & Data,33115  ,Hsiao,M W F ,11:15 AM ,12:05 PM ,Tempe - SHESC340,01/11 - 04/23(C) ,3,46 of 50 
CSE 205,Object-Oriented Program & Data,15466  ,Osburn,M W ,4:30 PM ,5:45 PM ,ASU Sync Only,01/11 - 04/23(C) ,3,8 of 166 
CSE 205,Object-Oriented Program & Data,20773  ,Osburn,T Th ,10:30 AM ,11:45 AM ,Poly - AGBC154,01/11 - 04/23(C) ,3,13 of 80 
CSE 205,Object-Oriented Program & Data,11272  ,Tadayon-Navabi,T Th ,4:30 PM ,5:45 PM ,ASU Sync Only,01/11 - 04/23(C) ,3,41 of 166 
CSE 205,Object-Oriented Program & Data,11282  ,Tadayon-Navabi,T Th ,9:00 AM ,10:15 AM ,ASU Sync Only,01/11 - 04/23(C) ,3,11 of 166 
CSE 205,Object-Oriented Program & Data,19341  ,Tadayon-Navabi,T Th ,1:30 PM ,2:45 PM ,ASU Sync Only,01/11 - 04/23(C) ,3,4 of 166 
CSE 205,Object-Oriented Program & Data,33116  ,Tadayon-Navabi,T Th ,4:30 PM ,5:45 PM ,Tempe - CAVC351,01/11 - 04/23(C) ,3,4 of 50 
